domain_id,role,opponent,opponent_seen,score,utility,opp_utility,nash,agreement,rounds,predicted_e
domain05,A,RandomNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,6,0.31746405363082886
domain05,A,ToughNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain05,A,SimpleTitForTatNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.44118431210517883
domain05,A,TopFractionNegotiator,False,0.49477993038481816,0.5413035021999999,0.7135090165,0.3862249294827275,True,90,0.44118431210517883
domain05,A,FirstOfferOrientedTBNegotiator,False,0.4371160489160719,0.4606608078,0.8296305475,0.38217827818690625,True,75,3.0
domain05,B,AspirationNegotiator,True,0.4750357996141911,0.5112851867,0.7636714432,0.39045389641397044,True,81,0.8040186166763306
domain05,B,BoulwareTBNegotiator,True,0.4647921931260813,0.5042116883,0.73939851,0.3728133710536044,True,83,0.8040186166763306
domain05,B,NaiveTitForTatNegotiator,True,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain05,B,TimeBasedConcedingNegotiator,True,0.4647921931260813,0.5042116883,0.73939851,0.3728133710536044,True,83,0.8040186166763306
domain05,B,BOA_Boulware,True,0.4775964386383179,0.5057621172,0.8143680753999999,0.4118765219943932,True,81,1.6080372333526611
domain05,B,LinearTBNegotiator,True,0.5039185557079828,0.5876928967999999,0.524840601,0.3084450931599429,True,81,0.18848535120487211
domain05,B,ConcederTBNegotiator,True,0.49400692120279316,0.6017832513,0.40301689539999996,0.242528817642644,True,100,0.09228132939338683
domain05,B,BOA_Hardliner,True,0.4634410701818793,0.46426985,0.9940495825999999,0.4615072506062645,True,82,2.4120558500289917
domain05,B,BOA_Conceder,True,0.5039185557079828,0.5876928967999999,0.524840601,0.3084450931599429,True,81,0.18760434389114378
domain05,B,BOA_Moderate,True,0.4169382081641239,0.4714862797999999,0.6143537718,0.28965937434708006,True,82,0.26800620555877686
domain05,B,MiCRONegotiator,False,0.49095199888087915,0.49227384800000007,0.9910493645999999,0.48786768426959704,True,82,0.26800620555877686
